survey_id,grasslandTransect,Date,observer,dataRecorder,suctionSetting,observedSoilMoisture,comment,kfs worksheet relationship?,K?,A?,C1?,Van Genutchren results?
MIX05_05_16-04-08,MIX05,4/8/2016,TR and volunteer Wendy Herniman,"Devyn Friedfel, TR and volunteer Wendy Herniman",2,NA,NA,,,,,
PMD01_NAT02_17-12-01,NAT02,12/1/2017,John Stock,Corina,1,NA,Hydrophobicity measured at same time found to be in class 6. Check date on this one.,,,,,
PMD03_MED02_18-02-21,MED02,2/21/2018,John Stock and training crew,Celeste Dodge,1,NA,NA,,,,,
PMD_04_18-02-21,NA,2/21/2018,Celeste Dodge,John Stock,1,NA,NA,,,,,
PMD01_NAT02_18-02-21,NAT02,2/21/2018,John Stock and training crew,Celeste Dodge,1,NA,NA,,,,,
USGS sites PMD X - X,NA,3/6/2018,Jon Perkins and Sky,Jon Perkins and Sky,unk,NA,not yet in database,,,,,
PMDNAT01_01_18-03-06,NAT01,3/6/2018,Tosha Commendant,Celeste Dodge,1,NA,NA,,,,,
PMDNAT01_02_18-03-06,NAT01,3/6/2018,Tosha Commendant,Celeste Dodge,1,NA,NA,,,,,
PMDNAT01_03_18-03-06,NAT01,3/6/2018,Tosha Commendant,Celeste Dodge,1,NA,One piece of grass found under disk (less than 5% of area but could have slowed down infiltration),,,,,
PMDNAT01_04_18-03-06,NAT01,3/6/2018,Tosha Commendant,Celeste Dodge,1,NA,suction too low ,,,,,
PMDNAT01_04_18-03-06-2,NAT01,3/6/2018,Tosha Commendant,Celeste Dodge,2,NA,"suction increased, infiltration noticable slower",,,,,
PMDNAT01_05_18-03-06,NAT01,3/6/2018,Tosha Commendant,Celeste Dodge,1,NA,NA,,,,,
PMDHAR01_01_18-03-07,HAR01,3/7/2018,volunteer David Wentworth,Celeste Dodge,1,NA,NA,,,,,
PMDHAR01_02_18-03-07,HAR01,3/7/2018,volunteer John Marley,Celeste Dodge,1,NA,NA,,,,,
PMDHAR01_03_18-03-07,HAR01,3/7/2018,volunteer John Marley,Celeste Dodge,1,NA,infiltration too fast to get enough points,,,,,
PMDHAR01_03_18-03-07-2,HAR01,3/7/2018,volunteer David Wentworth,Celeste Dodge,2,NA,NA,,,,,
PMDHAR01_04_18-03-07,HAR01,3/7/2018,volunteer David Wentworth,Celeste Dodge,1,NA,NA,,,,,
PMDHAR01_05_18-03-07,HAR01,3/7/2018,volunteer John Marley,Celeste Dodge,1,NA,NA,,,,,
PMDMIX01_01_18-03-07,MIX01,3/7/2018,volunteer Mike Winters,Celeste Dodge,1,NA,NA,,,,,
PMDMIX01_02_18-03-07,MIX01,3/7/2018,volunteer Mike Winters,Celeste Dodge,1,NA,no data available. excel file accidentally saved over with observations from PMDMIX01_04,,,,,
